Timestamp,Close,xg_boost_buy,reg_log_buy,SVC_buy,xg_boost_sell,reg_log_sell,SVC_sell
1609859100,131.434997,True,True,True,False,False,True
1609859400,131.489303,True,True,True,False,False,True
1609859700,130.809997,True,True,True,True,False,True
1609860000,131.080993,True,True,True,False,False,True
1609860300,131.052001,True,True,True,False,False,True
1609860600,131.118499,True,True,True,False,False,True
1609860900,131.259994,True,True,True,False,False,True
1609861200,130.929992,True,True,True,True,False,True
1609861500,131.011306,True,True,True,True,False,True
1609861800,131.161895,True,True,True,False,False,True
1609862100,130.520004,True,True,True,True,False,True
1609862400,130.619995,True,True,True,True,False,True
1609862700,130.256103,True,True,True,True,False,True
1609863000,130.339904,True,True,True,True,False,True
1609863300,130.130004,True,True,True,True,False,True
1609863600,130.100006,True,True,True,True,False,True
1609863900,130.380004,True,True,True,True,False,True
1609864200,130.380004,True,True,True,True,False,True
1609864500,130.464996,True,True,True,True,False,True
1609864800,130.286605,True,True,True,True,False,True
1609865100,130.410003,True,True,True,True,False,True
1609865400,130.419998,True,True,True,True,False,True
1609865700,130.289993,True,True,True,True,False,True
1609866000,130.122894,True,True,True,True,False,True
1609866300,130.11,True,True,True,True,False,True
1609866600,130.139999,True,True,True,True,False,True
1609866900,130.11,True,True,True,True,False,True
1609867200,130.199996,True,True,True,True,False,True
1609867500,130.149902,True,True,True,True,False,True
1609867800,130.210006,True,True,True,True,False,True
1609868100,130.304992,True,True,True,True,False,True
1609868400,130.136703,True,True,True,True,False,True
1609868700,129.972198,True,True,True,True,False,True
1609869000,129.975006,True,True,True,True,False,True
1609869300,130.145004,True,True,True,True,False,True
1609869600,130.160003,True,True,True,True,False,True
1609869900,130.074996,True,True,True,True,False,True
1609870200,130.095092,True,True,True,True,False,True
1609870500,130.078994,True,True,True,True,False,True
1609870800,130.037002,True,True,True,True,False,True
1609871100,130.044998,True,True,True,True,False,True
1609871400,130.264999,True,True,True,True,False,True
1609871700,130.339996,True,True,True,True,False,True
1609872000,130.389999,True,True,True,True,False,True
1609872300,130.5233,True,True,True,True,False,True
1609872600,130.509994,True,True,True,True,False,True
1609872900,130.625,True,True,True,True,False,True
1609873200,131.005004,True,True,True,False,False,True
1609873500,131.080993,True,True,True,False,False,True
1609873800,131.130004,True,True,True,False,False,True
1609874100,131.229995,True,True,True,False,False,True
1609874400,131.125,True,True,True,False,False,True
1609874700,131.11,True,True,True,False,False,True
1609875000,131.335006,True,True,True,False,False,True
1609875300,131.274993,True,True,True,False,False,True
1609875600,131.294998,True,True,True,False,False,True
1609875900,131.240005,True,True,True,False,False,True
1609876200,130.925003,True,True,True,True,False,True
1609876500,130.949996,True,True,True,True,False,True
1609876800,131.108993,True,True,True,False,False,True
1609877100,131.220001,True,True,True,False,False,True
1609877400,131.050094,True,True,True,True,False,True
1609877700,131.11,True,True,True,True,False,True
1609878000,130.964996,True,True,True,True,False,True
1609878300,130.830001,True,True,True,True,False,True
1609878600,130.919998,True,True,True,True,False,True
1609878900,130.904998,True,True,True,True,False,True
1609879200,131.080001,True,True,True,True,False,True
1609879500,131.330001,True,True,True,False,False,True
1609879800,131.039993,True,True,True,True,False,True
1609880100,130.949996,True,True,True,True,False,True
1609943400,127.080001,True,True,True,False,False,True
1609943700,127.225196,True,True,True,False,False,True
1609944000,127.459999,True,True,True,False,False,True
1609944300,127.970001,True,True,True,False,False,True
1609944600,128.389999,True,True,True,False,False,True
1609944900,128.059997,True,True,True,False,False,True
1609945200,127.885002,True,True,True,False,False,True
1609945500,128.458999,True,True,True,False,False,True
1609945800,128.320007,True,True,True,False,False,True
1609946100,128.697006,True,True,True,True,False,True
1609946400,129.104995,True,True,True,True,False,True
1609946700,128.950103,True,True,True,True,False,True
1609947000,128.979995,True,True,True,True,False,True
1609947300,129.169998,True,True,True,True,False,True
1609947600,129.065002,True,True,True,True,False,True
1609947900,129.244995,True,True,True,True,False,True
1609948200,129.634994,True,True,True,True,False,True
1609948500,129.386901,True,True,True,True,False,True
1609948800,129.500106,True,True,True,True,False,True
1609949100,129.966903,True,True,True,True,False,True
1609949400,130.490005,True,True,True,True,False,True
1609949700,130.690002,True,True,True,True,False,True
1609950000,130.595001,True,True,True,True,False,True
1609950300,130.419998,True,True,True,True,False,True
1609950600,130.367004,True,True,True,True,False,True
1609950900,129.906799,True,True,True,True,False,True
1609951200,130.134994,True,True,True,True,False,True
1609951500,130.240707,True,True,True,True,False,True
1609951800,130.044998,True,True,True,True,False,True
1609952100,130.119995,True,True,True,True,False,True
1609952400,130.375,True,True,True,True,False,True
1609952700,130.501998,True,True,True,True,False,True
1609953000,130.403701,True,True,True,True,False,True
1609953300,130.580001,True,True,True,True,False,True
1609953600,130.333099,True,True,True,True,False,True
1609953900,130.324996,True,True,True,True,False,True
1609954200,130.380004,True,True,True,True,False,True
1609954500,130.029998,True,True,True,True,False,True
1609954800,130.009994,True,True,True,True,False,True
1609955100,129.914993,True,True,True,True,False,True
1609955400,130.133605,True,True,True,True,False,True
1609955700,130.009994,True,True,True,True,False,True
1609956000,130.029998,True,True,True,True,False,True
1609956300,129.994995,True,True,True,True,False,True
1609956600,130.140792,True,True,True,True,False,True
1609956900,129.804901,True,True,True,True,False,True
1609957200,129.369995,True,True,True,True,False,True
1609957500,129.240005,True,True,True,True,False,True
1609957800,129.100006,True,True,True,True,False,True
1609958100,129.36,True,True,True,True,False,True
1609958400,129.529998,True,True,True,True,False,True
1609958700,129.425003,True,True,True,True,False,True
1609959000,129.404998,True,True,True,True,False,True
1609959300,129.25,True,True,True,True,False,True
1609959600,129.274993,True,True,True,True,False,True
1609959900,129.119995,True,True,True,True,False,True
1609960200,128.945007,True,True,True,False,False,True
1609960500,128.599197,True,True,True,False,False,True
1609960800,128.315002,True,True,True,False,False,True
1609961100,127.800003,True,True,True,False,False,True
1609961400,128.005004,True,True,True,False,False,True
1609961700,127.559997,True,True,True,False,False,True
1609962000,127.879203,True,True,True,False,False,True
1609962300,127.175003,True,True,True,False,False,True
1609962600,127.639999,True,True,True,False,False,True
1609962900,127.939903,True,True,True,False,False,True
1609963200,127.654998,True,True,True,False,False,True
1609963500,127.910003,True,True,True,False,False,True
1609963800,128.009994,True,True,True,False,False,True
1609964100,127.86,True,True,True,False,False,True
1609964400,127.190101,True,True,True,False,False,True
1609964700,127.480003,True,True,True,False,False,True
1609965000,127.480003,True,True,True,False,False,True
1609965300,126.900001,True,True,True,False,False,True
1609965600,127.470001,True,True,True,False,False,True
1609965900,127.189903,True,True,True,False,False,True
1609966200,126.830001,True,True,True,False,False,True
